,rank,funding,year,institution,count
0,1,19621244,2016,Hospital Of The University Of Pennsylvania,37.0
1,2,19280840,2016,Washington University In St. Louis,4.0
2,3,16546762,2016,Duke University Medical Center,26.0
3,4,16531254,2016,University Of Michigan,42.0
4,5,15586617,2016,University Of Pittsburgh,17.0
5,6,14299884,2016,University Of California - San Francisco,11.0
6,7,11436767,2016,University Of Wisconsin,50.0
7,8,10697022,2016,Vanderbilt University Medical Center,10.0
8,9,10481924,2016,Emory University School Of Medicine,8.0
9,10,7401582,2016,Northwestern University,12.0
10,11,7018709,2016,University Of California - Los Angeles,7.0
11,12,6737979,2016,Johns Hopkins University School Of Medicine,31.0
12,13,6523729,2016,Stanford University,22.0
13,14,6432568,2016,University Of California - Davis,7.0
14,15,6279394,2016,Ohio State University,7.0
15,16,6137920,2016,University Of California - San Diego,1.0
16,17,5166771,2016,University Of Rochester,2.0
17,18,4672949,2016,University Of Minnesota,6.0
18,19,4497991,2016,University Of Florida,16.0
19,20,4405093,2016,University Of Maryland,7.0
20,21,4382627,2016,University Of Chicago,14.0
21,22,4300970,2016,University Of Virginia,13.0
22,23,4163616,2016,University Of Texas Medical Branch,6.0
23,24,4140021,2016,University Of Kentucky,4.0
24,25,3548664,2016,Columbia University Irving Medical Center,
25,26,3495958,2016,Weill Cornell Medical College,3.0
26,27,3492929,2016,University Of Miami,8.0
27,28,3470292,2016,Cleveland Clinic,4.0
28,29,3258208,2016,Loyola University Chicago,1.0
29,30,3239043,2016,University Of Colorado Denver,12.0
30,31,3078096,2016,Medical College Of Wisconsin,19.0
31,32,2962262,2016,University Of Utah,10.0
32,33,2916921,2016,University Of Nebraska College Of Medicine,4.0
33,34,2886398,2016,Baylor College Of Medicine,5.0
34,35,2689666,2016,New Jersey Medical School,5.0
35,36,2393777,2016,University Of California - Irvine,
36,37,2252237,2016,New York University School Of Medicine,3.0
37,38,2010603,2016,University Of North Carolina At Chapel Hill,6.0
38,39,1988935,2016,University Of Southern California,1.0
