,year,smart_institution5,count
1384,2020,University Of Alabama At Birmingham,94
2184,2023,University Of Alabama At Birmingham,75
744,2018,University Of Alabama At Birmingham,68
1064,2019,University Of Alabama At Birmingham,67
1887,2022,University Of Alabama At Birmingham,67
1659,2021,University Of Alabama At Birmingham,66
449,2017,University Of Alabama At Birmingham,60
1244,2020,Johns Hopkins University School Of Medicine,59
476,2017,University Of Michigan,55
1092,2019,University Of Michigan,51
2214,2023,University Of Michigan,51
223,2016,University Of Wisconsin,50
770,2018,University Of Michigan,48
1413,2020,University Of Michigan,47
200,2016,University Of Michigan,42
1906,2022,University Of Michigan,42
1969,2023,Baylor College Of Medicine,42
502,2017,University Of Wisconsin,37
1683,2021,University Of Michigan,37
1400,2020,University Of Florida,37
2191,2023,University Of California - Los Angeles,37
70,2016,Hospital Of The University Of Pennsylvania,37
2053,2023,Hospital Of The University Of Pennsylvania,36
839,2019,Baylor College Of Medicine,36
1488,2021,Baylor College Of Medicine,36
475,2017,University Of Miami,35
1310,2020,Ohio State University,35
817,2018,Yale University School Of Medicine,34
953,2019,Medical College Of Wisconsin,34
2085,2023,Massachusetts General Hospital,34
312,2017,Hospital Of The University Of Pennsylvania,34
1140,2019,Yale University School Of Medicine,33
847,2019,Brigham And Women'S Hospital,33
1110,2019,University Of Texas Health Science Center At Houston,32
2236,2023,University Of Texas Health Science Center At Houston,32
458,2017,University Of California - Los Angeles,31
79,2016,Johns Hopkins University School Of Medicine,31
1231,2020,Hospital Of The University Of Pennsylvania,31
552,2018,Brigham And Women'S Hospital,31
769,2018,University Of Miami,30
759,2018,University Of Florida,30
1474,2020,Yale University School Of Medicine,29
416,2017,Stanford University,29
323,2017,Johns Hopkins University School Of Medicine,29
1446,2020,University Of Wisconsin,28
678,2018,Ohio State University,28
2116,2023,Northwestern University,28
926,2019,Johns Hopkins University School Of Medicine,28
1423,2020,University Of Pittsburgh,27
2200,2023,University Of Colorado Denver,27
1071,2019,University Of California - Los Angeles,27
1891,2022,University Of California - Los Angeles,27
1360,2020,Temple University,27
617,2018,Indiana University School Of Medicine,27
1120,2019,University Of Wisconsin,26
496,2017,University Of Texas Southwestern Medical Center,26
1412,2020,University Of Miami,26
1352,2020,Stanford University,26
2155,2023,Stanford University,26
1305,2020,Northwestern University,26
917,2019,Indiana University School Of Medicine,26
51,2016,Duke University Medical Center,26
15,2016,Brigham And Women'S Hospital,26
1159,2020,Baylor College Of Medicine,26
239,2016,Yale University School Of Medicine,25
