,institution,count
0,Abington Jefferson Health,1
1,Addis Ababa University,2
2,Aga Khan University Medical College,21
3,Ahmadu Bello University,1
4,Albany Medical College,3
5,Albert Einstein College Of Medicine,2
6,American College Of Surgeons,3
7,Ann And Robert H. Lurie Children'S Hospital,1
8,Ann And Robert H. Lurie Children'S Hospital Of Chicago,3
9,Anne Marion Burnett School Of Medicine At Texas Christian University,1
10,Antiguo Hospital Civil De Guadalajara,1
11,Ascension Providence Hospital,3
12,Atrium Health,2
13,Bassett Medical Center,1
14,Baylor College Of Medicine,31
15,Baylor College Of Medicine & Texas Children'S Hospital,2
16,Baylor Scott & White All Saints Medical Center,2
17,Baystate Medical Center,1
18,Beth Israel Deaconess Medical Center,16
19,Bolan Medical Complex Hospital,2
20,Boston Children'S Hospital,3
21,Boston University,11
22,Boulder Community Health,1
23,Brigham And Women'S Hospital,16
24,Brooke Army Medical Center,1
25,Brown University School Of Medicine,7
26,California Northstate University,4
27,California Northstate University College Of Medicine,1
28,Carle Illinois College Of Medicine,1
29,Carolinas Medical Center,4
30,Case Western Reserve University School Of Medicine,7
31,Cedars-Sinai Medical Center,2
32,Center For Surgery And Public Health,1
33,Chelsea And Westminster Hospital Nhs Trust,1
34,Children'S Hospital Boston,2
35,Children'S Hospital Colorado,3
36,Children'S Hospital Los Angeles,4
37,Children'S Hospital Of Philadelphia,1
38,Children'S Hospital Of Pittsburgh Of Upmc,3
39,Children'S Hospital Of Wisconsin,1
40,Children'S Mercy Hospital- University Of Missouri Kansas City,2
41,Children'S Mercy Hospital-University Of Missouri Kansas City,5
42,Children'S National Hospital,1
43,Childrens Hospital Of Philadelphia Research Institute,1
44,Chop Center For Fetal Research,1
45,Christiana Care,2
46,Cincinnati Children'S Hospital Medical Center,5
47,City Of Hope National Medical Center,2
48,Cleveland Clinic,4
49,Cohen Children'S Medical Center At Northwell Health,1
50,Columbia University Irving Medical Center,6
51,Concord Repatriation General Hospital,2
52,Cooper University Hospital,3
53,Creighton University Medical Center,6
54,Crozer Health,1
55,Darlington Memorial Hospital,1
56,Dartmouth Hitchcock Medical Center,12
57,Data Science Center For The Study Of Surgery,1
58,Delray Medical Center,9
59,Denver Health Medical Center,2
