,rank,institution,funding,year
1,1,DUKE UNIVERSITY,30257450,2018
2,2,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,23592415,2018
3,3,UNIVERSITY OF MICHIGAN AT ANN ARBOR,21676571,2018
4,4,WASHINGTON UNIVERSITY,16301070,2018
5,5,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",16046269,2018
6,6,OHIO STATE UNIVERSITY,14342745,2018
7,7,EMORY UNIVERSITY,12451189,2018
8,8,UNIVERSITY OF WISCONSIN-MADISON,12338374,2018
9,9,STANFORD UNIVERSITY,11488617,2018
10,10,UNIVERSITY OF CALIFORNIA LOS ANGELES,9932504,2018
11,11,UNIVERSITY OF CALIFORNIA AT DAVIS,9731747,2018
12,12,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,8756895,2018
13,13,NORTHWESTERN UNIVERSITY AT CHICAGO,7514220,2018
14,14,VANDERBILT UNIVERSITY,7170441,2018
15,15,JOHNS HOPKINS UNIVERSITY,7011546,2018
16,16,UNIVERSITY OF FLORIDA,6653019,2018
17,17,UNIVERSITY OF TEXAS MED BR GALVESTON,6564401,2018
18,18,UNIVERSITY OF KENTUCKY,6469887,2018
19,19,COLUMBIA UNIVERSITY HEALTH SCIENCES,5840631,2018
20,20,UNIVERSITY OF PENNSYLVANIA,5817880,2018
21,21,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",5584272,2018
22,22,UNIVERSITY OF ALABAMA AT BIRMINGHAM,5535649,2018
23,23,CLEVELAND CLINIC LERNER COM-CWRU,5529069,2018
24,24,UNIVERSITY OF MARYLAND BALTIMORE,5361931,2018
25,25,UNIVERSITY OF ROCHESTER,5259376,2018
26,26,UNIVERSITY OF VIRGINIA,4786380,2018
27,27,UNIVERSITY OF CHICAGO,4679582,2018
28,28,UNIVERSITY OF COLORADO DENVER,4449621,2018
29,29,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,3941086,2018
30,30,WAKE FOREST UNIVERSITY HEALTH SCIENCES,3867989,2018
31,31,UNIVERSITY OF NEBRASKA MEDICAL CENTER,3719401,2018
32,32,BAYLOR COLLEGE OF MEDICINE,3632202,2018
33,33,UNIVERSITY OF IOWA,3054308,2018
34,34,UNIVERSITY OF UTAH,2699912,2018
35,35,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,2589725,2018
36,36,UNIVERSITY OF WASHINGTON,2395872,2018
37,37,MEDICAL COLLEGE OF WISCONSIN,2387254,2018
38,38,UNIVERSITY OF SOUTHERN CALIFORNIA,2246758,2018
39,39,UNIVERSITY OF MINNESOTA,2201703,2018
40,40,MEDICAL UNIVERSITY OF SOUTH CAROLINA,1927734,2018
41,41,WEILL MEDICAL COLL OF CORNELL UNIV,1836228,2018
42,42,YALE UNIVERSITY,1771281,2018
43,43,LOYOLA UNIVERSITY CHICAGO,1760832,2018
44,44,UNIV OF NORTH CAROLINA CHAPEL HILL,1708214,2018
45,45,UNIVERSITY OF KANSAS MEDICAL CENTER,1591160,2018
46,46,GEORGE WASHINGTON UNIVERSITY,1583657,2018
47,47,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,1578352,2018
48,48,UNIVERSITY OF CINCINNATI,1525948,2018
49,49,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",1487828,2018
50,50,UNIVERSITY OF MISSOURI-COLUMBIA,1484063,2018
51,51,UNIVERSITY OF ILLINOIS AT CHICAGO,1336869,2018
52,52,UT SOUTHWESTERN MEDICAL CENTER,1242306,2018
53,53,RBHS-NEW JERSEY MEDICAL SCHOOL,1224300,2018
54,54,UNIVERSITY OF CALIFORNIA-IRVINE,1212247,2018
55,55,DARTMOUTH COLLEGE,1157631,2018
56,56,UNIVERSITY OF ARIZONA,1143490,2018
57,57,UPSTATE MEDICAL UNIVERSITY,1114454,2018
58,58,EAST TENNESSEE STATE UNIVERSITY,1109181,2018
59,59,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,891510,2018
60,60,HARVARD MEDICAL SCHOOL,859654,2018
61,61,SOUTHERN ILLINOIS UNIVERSITY SCH OF MED,846980,2018
62,62,UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANTONIO,802080,2018
63,63,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,771170,2018
64,64,CASE WESTERN RESERVE UNIVERSITY,758109,2018
65,65,GEORGETOWN UNIVERSITY,723887,2018
66,66,BOSTON UNIVERSITY MEDICAL CAMPUS,603464,2018
67,67,VIRGINIA COMMONWEALTH UNIVERSITY,506565,2018
68,68,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,476088,2018
69,69,THOMAS JEFFERSON UNIVERSITY,372748,2018
70,70,RBHS-ROBERT WOOD JOHNSON MEDICAL SCHOOL,363713,2018
71,71,STATE UNIVERSITY NEW YORK STONY BROOK,304547,2018
72,72,UNIVERSITY OF MISSISSIPPI MED CTR,249000,2018
73,73,UNIVERSITY OF TENNESSEE HEALTH SCI CTR,247493,2018
74,74,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,220490,2018
75,75,UNIVERSITY OF SOUTH FLORIDA,202964,2018
76,76,UNIVERSITY OF SOUTH ALABAMA,189000,2018
77,77,UNIVERSITY OF LOUISVILLE,167475,2018
78,0,,,2018
79,0,GRAND TOTAL,351232673,2018
80,0,,,2018
81,0,MEAN,4561463.285714285,2018
82,0,Revised 19 February 2019,,2018
83,0,MEDIAN,2201703,2018
1,0,DUKE UNIVERSITY,47357541,2023
2,0,WASHINGTON UNIVERSITY ST LOUIS,34198285,2023
3,0,UNIVERSITY OF MICHIGAN ANN ARBOR,28960624,2023
4,0,UNIVERSITY OF MINNESOTA,20604572,2023
5,0,UNIVERSITY OF FLORIDA,18370424,2023
6,0,UNIVERSITY OF PENNSYLVANIA,17861753,2023
7,0,STANFORD UNIVERSITY,17735229,2023
8,0,UNIVERSITY OF PITTSBURGH,17394455,2023
9,0,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,17307614,2023
10,0,NORTHWESTERN UNIVERSITY CHICAGO,15641937,2023
11,0,OHIO STATE UNIVERSITY,15605904,2023
12,0,UNIVERSITY OF WISCONSIN MADISON,14743652,2023
13,0,UNIVERSITY OF COLORADO DENVER,12853999,2023
14,0,COLUMBIA UNIVERSITY HEALTH SCIENCES,12829669,2023
15,0,UNIVERSITY OF CALIFORNIA LOS ANGELES,11268770,2023
16,0,YALE UNIVERSITY,11182082,2023
17,0,JOHNS HOPKINS UNIVERSITY,10778923,2023
18,0,CORNELL UNIVERSITY WEILL MEDICAL COLLEGE,10730506,2023
19,0,UNIVERSITY OF CALIFORNIA SAN DIEGO,10271489,2023
20,0,UNIVERSITY OF ROCHESTER,9909483,2023
21,0,VANDERBILT UNIVERSITY,8642574,2023
22,0,UNIVERSITY OF MARYLAND BALTIMORE,8484077,2023
23,0,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,8243138,2023
24,0,BAYLOR COLLEGE OF MEDICINE,8213523,2023
25,0,UNIVERSITY OF CALIFORNIA DAVIS,8167797,2023
26,0,INDIANA UNIV-PURDUE UNIV INDIANAPOLIS,8020011,2023
27,0,UNIVERSITY OF ALABAMA BIRMINGHAM,7960003,2023
28,0,EMORY UNIVERSITY,7462831,2023
29,0,UNIVERSITY OF TEXAS SOUTHWESTERN DALLAS,6849551,2023
30,0,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",6243307,2023
31,0,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,6084814,2023
32,0,UNIVERSITY OF VIRGINIA,5954875,2023
33,0,UNIVERSITY OF LOUISVILLE,5702379,2023
34,0,UNIVERSITY OF KENTUCKY,5467990,2023
35,0,MEDICAL UNIVERSITY OF SOUTH CAROLINA,5333545,2023
36,0,UNIVERSITY OF ARIZONA,4965150,2023
37,0,UNIVERSITY OF SOUTHERN CALIFORNIA,4870793,2023
38,0,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,4857057,2023
39,0,PENNSYLVANIA STATE UNIV MED CTR HERSHEY,4765505,2023
40,0,UNIVERSITY OF UTAH,4494329,2023
41,0,UNIVERSITY OF CHICAGO,4082139,2023
42,0,UNIVERSITY OF NEBRASKA MEDICAL CENTER,3386453,2023
43,0,VIRGINIA COMMONWEALTH UNIVERSITY,3372710,2023
44,0,CASE WESTERN RESERVE UNIV/CLEVELAND CLINIC LERNER COM,3226307,2023
45,0,WAKE FOREST UNIVERSITY HLTH SCIS,3212048,2023
46,0,MEDICAL COLLEGE OF WISCONSIN,3103575,2023
47,0,UNIVERSITY OF CALIFORNIA IRVINE,3080200,2023
48,0,UNIVERSITY OF MISSOURI COLUMBIA,2924278,2023
49,0,UNIVERSITY OF WASHINGTON SEATTLE,2674784,2023
50,0,UNIVERSITY OF SOUTH FLORIDA,2202693,2023
51,0,UNIVERSITY OF OKLAHOMA HLTH SCIS CTR,1992729,2023
52,0,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,1889826,2023
53,0,EAST TENNESSEE STATE UNIVERSITY,1661585,2023
54,0,LOYOLA UNIVERSITY CHICAGO,1618708,2023
55,0,UNIVERSITY OF VERMONT,1569451,2023
56,0,BOSTON UNIVERSITY MEDICAL CAMPUS,1293527,2023
57,0,UNIVERSITY OF TEXAS MED BR GALVESTON,1012928,2023
