,smart_institution5,count
0,University Of Alabama At Birmingham,589
1,University Of Michigan,429
2,Hospital Of The University Of Pennsylvania,256
3,Johns Hopkins University School Of Medicine,246
4,University Of California - Los Angeles,245
5,Baylor College Of Medicine,227
6,University Of Wisconsin,216
7,Stanford University,204
8,Massachusetts General Hospital,195
9,Indiana University School Of Medicine,194
10,University Of Pittsburgh,194
11,University Of Miami,193
12,Medical College Of Wisconsin,191
13,University Of Texas Southwestern Medical Center,190
14,Northwestern University,187
15,University Of Colorado Denver,182
16,Yale University School Of Medicine,182
17,University Of Florida,179
18,Brigham And Women'S Hospital,174
19,Ohio State University,171
20,University Of Texas Health Science Center At Houston,169
21,University Of Arizona,167
22,University Of North Carolina At Chapel Hill,143
23,Duke University Medical Center,138
24,University Of California - San Francisco,132
25,Temple University,114
26,University Of Chicago,107
27,University Of Utah,104
28,University Of Cincinnati,101
29,University Of Virginia,99
30,Beth Israel Deaconess Medical Center,92
31,Vanderbilt University Medical Center,87
32,Roswell Park Cancer Institute,76
33,University Of California - San Diego,74
34,Penn State Hershey Medical Center,74
35,Harvard Medical School,73
36,University Of Louisville,71
37,Mount Sinai School Of Medicine,70
38,Mayo Clinic,68
39,New Jersey Medical School,68
40,Georgetown University Medical Center,67
41,Emory University School Of Medicine,67
42,University Of Tennessee Health Science Center,67
43,Louisiana State University Health Sciences Center,64
44,Moffitt Cancer Center And Research Institute,64
45,Dartmouth Hitchcock Medical Center,63
46,University Of Iowa,63
47,Thomas Jefferson University,62
48,Children'S Hospital Los Angeles,61
49,University Of Texas Medical Branch,61
50,Boston University,60
51,Washington University In St. Louis,59
52,Aga Khan University Medical College,57
53,Howard University College Of Medicine,54
54,University Of South Florida College Of Medicine,53
55,University Of Nebraska College Of Medicine,51
56,Children'S Mercy Hospital-University Of Missouri Kansas City,51
57,Brown University School Of Medicine,51
58,Fox Chase Cancer Center,50
59,Cedars-Sinai Medical Center,49
60,University Of California - Irvine,49
61,University Of Kentucky,48
62,Weill Cornell Medical College,48
63,Virginia Commonwealth University,47
64,University Of Rochester,47
65,Wright State University,46
66,State University Of New York At Buffalo,45
67,Rush University Medical Center,41
68,University Of Vermont College Of Medicine / Fletcher Allen Health Care,41
69,Stony Brook University Medical Center,41
70,University Of Maryland,41
71,Texas Tech University Health Sciences Center,40
72,Carolinas Medical Center,40
73,Delray Medical Center,39
74,Niigata University Graduate School Of Medical And Dental Sciences,39
75,New York University School Of Medicine,38
76,Case Western Reserve University School Of Medicine,36
77,Nationwide Children'S Hospital,36
78,University Hospitals Cleveland Medical Center,35
79,University Of Texas Md Anderson Cancer Center,35
80,Texas Children'S Hospital,34
81,University Of Oklahoma College Of Medicine,34
82,Tulane University School Of Medicine,34
83,Loyola University Chicago Stritch School Of Medicine,34
84,University Of Minnesota,34
85,University Of Southern California,33
86,Wake Forest University School Of Medicine,33
87,University Of Toledo Medical Center,33
88,University Of Arkansas For Medical Sciences,32
89,University Of California - Davis,32
90,University Of Massachusetts Medical School,31
91,Rutgers Robert Wood Johnson Medical School,30
92,Ohiohealth Grant Medical Center,29
93,Cleveland Clinic,29
94,Loyola University Medical Center,28
95,Tufts Medical Center,28
96,Columbia University Irving Medical Center,27
97,North Shore University And Long Island Jewish Medical Center,27
98,Wayne State University,27
99,George Washington University,27
100,Oregon Health And Science University,26
101,Suny Downstate Health Sciences University,26
102,Medical University Of South Carolina,26
103,Children'S Mercy Hospital- University Of Missouri Kansas City,26
104,Children'S Hospital Colorado,26
105,Albert Einstein College Of Medicine,26
106,Geisinger Medical Center,25
107,Albany Medical College,23
108,East Carolina University Brody School Of Medicine,23
109,The Jikei University School Of Medicine,22
110,Drexel University College Of Medicine,22
111,University Of South Alabama,22
112,Robert Wood Johnson - Umdnj,21
113,St. Luke'S University Health Network,21
114,Cincinnati Children'S Hospital Medical Center,20
115,Ann & Robert H. Lurie Children'S Hospital Of Chicago,20
116,University Of New Mexico Hsc,20
117,Saint Barnabas Medical Center,19
118,Cooper University Hospital,19
119,Rhode Island Hospital,18
120,City Of Hope National Medical Center,18
121,University Of Illinois At Chicago,18
122,Metrohealth Medical Center,18
123,Broward Health Medical Center,17
124,Creighton University Medical Center,17
125,Houston Methodist Hospital,17
126,West Virginia University,16
127,Westchester Medical Center,16
128,Henry Ford Health System,16
129,Seattle Children'S Hospital,16
130,Medical College Of Georgia,16
131,Virginia Tech Carilion School Of Medicine,16
132,Donald And Barbara Zucker School Of Medicine At Hofstra/Northwell,16
133,Florida Atlantic University,15
134,Lehigh Valley Health Network,15
135,Radboudumc,15
136,Guthrie Robert Packer Hospital,14
137,Holy Cross Hospital,14
138,University Of Texas Health Science Center At San Antonio,14
139,Eastern Virginia Medical School,14
140,Marshall University School Of Medicine,14
141,Radboud University Medical Center,14
142,Boston Children'S Hospital,14
143,Children'S Hospital Boston,14
144,Guthrie Clinic,14
145,State University Of New York Downstate Medical Center,14
146,Abington Memorial Hospital,13
147,National University Of Rwanda,13
148,Southern Illinois University School Of Medicine,13
149,University Of Kansas,13
150,Mayo Clinic - Florida,12
