,0
0,University Of Pennsylvania
1,Duke University
2,University Of Pittsburgh At Pittsburgh
3,"University Of California, San Francisco"
4,University Of Wisconsin-Madison
5,Vanderbilt University
6,Emory University
7,Northwestern University At Chicago
8,University Of California Los Angeles
9,Johns Hopkins University
10,University Of California At Davis
11,University Of California San Diego
12,University Of Maryland Baltimore
13,University Of Texas Medical Br Galveston
14,Columbia University Health Sciences
15,Weill Medical Coll Of Cornell Univ
16,University Of Miami School Of Medicine
17,Cleveland Clinic Lerner Com-Cwru
18,University Of Nebraska Medical Center
19,Rbhs-New Jersey Medical School
20,University Of California-Irvine
21,Univ Of North Carolina Chapel Hill
22,Wake Forest University Health Sciences
23,Indiana Univ-Purdue Univ At Indianapolis
24,University Of Missouri-Columbia
25,University Of Washington
26,Rbhs-Robert Wood Johnson Medical School
27,Yale University
28,Texas A&M University Health Science Ctr
29,Ut Southwestern Medical Center
30,Southern Illinois University Sch Of Med
31,Pennsylvania State Univ Hershey Med Ctr
32,University Of Texas Hlth Sci Ctr Houston
33,University Of Connecticut Sch Of Med/Dnt
34,Dartmouth College
35,Univ Of Massachusetts Med Sch Worcester
36,Upstate Medical University
37,University Of Tennessee Health Sci Ctr
38,University Of New Mexico Health Scis Ctr
39,University Of South Florida
40,Boston University Medical Campus
41,Icahn School Of Medicine At Mount Sinai
42,University Of Vermont & St Agric College
43,University Of Michigan At Ann Arbor
44,University Of Texas Med Br Galveston
45,"University Of California, San Diego"
46,"Albert Einstein College Of Medicine, Inc"
47,University Of Texas Hlth Sci Ctr San Antonio
48,Georgetown University
49,State University New York Stony Brook
50,University Of Mississippi Med Ctr
51,Case Western Reserve Univ/Cleveland Clinic Lerner Com
52,University Of Texas Southwestern Dallas
53,Rutgers Biomedical And Health Sciences
54,Texas Tech University Health Scis Center
55,University Of Michigan Ann Arbor
56,Washington University St Louis
57,University Of Wisconsin Madison
58,University Of California Davis
59,University Of California San Francisco
60,Northwestern University Chicago
61,University Of Alabama Birmingham
62,Weill Medical College Of Cornell University
63,Case Western Reserve Univ/Cleveland Clinic Lerner
64,Indiana Univ-Purdue Univ Indianapolis
65,University Of North Carolina Chapel Hill
66,University Of Illinois Chicago
67,University Of Missouri Columbia
68,University Of Vermont
69,University Of New Mexico Health Sciences Ctr
70,University Of California Irvine
71,"Rutgers, The State University Of New Jersey"
72,University Of Oklahoma Hlth Sciences Ctr
73,University Of Nevada Reno
74,Louisiana State Univ Hsc New Orleans
75,State University Of New York Stony Brook
76,State University Of New York Buffalo
77,Oregon Health & Science University
78,University Of Massachusetts Med Sch Worcester
79,Cornell University Weill Medical College
80,Case Western Reserve U/Cleveland Clinic Lerner Com
81,Pennsylvania State Univ Med Ctr Hershey
82,University Of Washington Seattle
83,Wake Forest University Hlth Scis
84,University Of New Mexico Hlth Scis Ctr
85,Tulane University Of Louisiana
86,University Of Oklahoma Hlth Scis Ctr
87,University Of Tennessee Hlth Sci Ctr
88,Suny Upstate Medical Center
89,University Of Massachusetts Worcester
90,Brown University
