,smart_institution3,smart_institution2,count,total_count,smart_institution4
1218,University Of Alabama At Birmingham,University Of Alabama At Birmingham,543,577,
1216,University Of Alabama At Birmingham,University Of Alabama,12,577,
1214,University Of Alabama At Birmingham,The University Of Alabama At Birmingham,5,577,
1222,University Of Alabama At Birmingham,University Of Alabama At Birmingham School Of Medicine,5,577,
1223,University Of Alabama At Birmingham,University Of Alabama Birmingham,5,577,
1215,University Of Alabama At Birmingham,The University Of Alabama At Birmingham (Uab),2,577,
1217,University Of Alabama At Birmingham,University Of Alabama - Birmingham,1,577,
1219,University Of Alabama At Birmingham,University Of Alabama At Birmingham Department Of Surgery,1,577,
1220,University Of Alabama At Birmingham,University Of Alabama At Birmingham Heersink School Of Medicine,1,577,
1221,University Of Alabama At Birmingham,University Of Alabama At Birmingham Medical Center,1,577,
1224,University Of Alabama At Birmingham,University Of Alabama-Birmingham,1,577,
1353,University Of Michigan,University Of Michigan,390,429,
1357,University Of Michigan,University Of Michigan Medical School,21,429,
1351,University Of Michigan,Michigan Medicine,10,429,
1354,University Of Michigan,University Of Michigan Health System,2,429,
1355,University Of Michigan,University Of Michigan Hospital,2,429,
1358,University Of Michigan,University Of Michigan Medicine,2,429,
1352,University Of Michigan,Michigan Surgical Quality Collaborative,1,429,
1356,University Of Michigan,University Of Michigan Medical Center,1,429,
642,Medical College Of Wisconsin,Medical College Of Wisconsin,188,369,
643,Medical College Of Wisconsin,University Of Wisconsin,181,369,University Of Wisconsin
441,Hospital Of The University Of Pennsylvania,Hospital Of The University Of Pennsylvania,124,239,
444,Hospital Of The University Of Pennsylvania,University Of Pennsylvania,108,239,
442,Hospital Of The University Of Pennsylvania,Perelman School Of Medicine At The University Of Pennsylvania,5,239,
443,Hospital Of The University Of Pennsylvania,The Hospital Of The University Of Pennsylvania,2,239,
515,Johns Hopkins University School Of Medicine,Johns Hopkins University School Of Medicine,173,229,
516,Johns Hopkins University School Of Medicine,The Johns Hopkins University School Of Medicine,41,229,
514,Johns Hopkins University School Of Medicine,Johns Hopkins University,7,229,
512,Johns Hopkins University School Of Medicine,Johns Hopkins Hospital,4,229,
513,Johns Hopkins University School Of Medicine,Johns Hopkins School Of Medicine,4,229,
73,Baylor College Of Medicine,Baylor College Of Medicine,218,226,
76,Baylor College Of Medicine,Baylor University Medical Center,5,226,
75,Baylor College Of Medicine,Baylor University,2,226,
